episode,reward
0,-0.243
100,-0.359
200,0.258
300,0.226
400,0.463
500,0.547
600,0.439
700,0.446
800,0.526
900,0.483
1000,0.447
1100,0.441
1200,0.463
1300,0.469
1400,0.45
1500,0.521
1600,0.45
1700,0.487
1800,0.481
1900,0.533
2000,0.501
2100,0.521
2200,0.477
2300,0.491
2400,0.451
2500,0.46
2600,0.449
2700,0.542
2800,0.485
2900,0.507
3000,0.429
3100,0.438
3200,0.539
3300,0.44
3400,0.443
3500,0.459
3600,0.487
3700,0.461
3800,0.484
3900,0.533
4000,0.473
4100,0.461
4200,0.544
4300,0.486
4400,0.527
4500,0.511
4600,0.577
4700,0.588
4800,0.552
4900,0.579
